"id","title","missing","link"
"test","Test Product Regular","brand","https://sinisterdiesel.com/test-product.html"
"ec-warranty","Extend Warranty","brand","https://sinisterdiesel.com/extend-warranty.html"
"enhanced_shipping_protection","Enhanced Shipping Protection","brand","https://sinisterdiesel.com/enhanced-shipping-protection.html"
"B621","Sinister Diesel Replacement O-Ring for 2011-26 6.7P Hot Side Charge Pipe","brand","https://sinisterdiesel.com/mm5/merchant.mvc?Screen=PROD&Product_Code=B621"
"B626","Sinister Diesel Replacement O-Ring for 2011-26 6.7P Cold Side Charge Pipe","brand","https://sinisterdiesel.com/o-rings.html"
"B400","Sinister Diesel Replacement Boot for 6.0P Hot Side Charge Pipe","brand","https://sinisterdiesel.com/sinister-diesel-replacement-boot.html"
"B419","Sinister Diesel Replacement Boot for 2017+ 6.7P Cold Side Charge Pipe","brand","https://sinisterdiesel.com/replacement-sinister-diesel-boot.html"
"B420","Sinister Diesel Replacement Boot for 2011-16 6.7P Cold Side Charge Pipe","brand","https://sinisterdiesel.com/replacement-sinister-diesel-boot-19220.html"
"B503","Sinister Diesel Replacement T-Bolt Clamp (72-80mm)","brand","https://sinisterdiesel.com/replacement-sinister-diesel-clamp.html"
"B504","Sinister Diesel Replacement T-Bolt Clamp (78-86mm)","brand","https://sinisterdiesel.com/sinister-diesel-replacement-t-bolt-clamp-78-86mm.html"
"B505","Sinister Diesel Replacement T-Bolt Clamp (84-92mm)","brand","https://sinisterdiesel.com/sinister-diesel-replacement-t-bolt-clamp-84-92mm.html"
"B506","Sinister Diesel Replacement T-Bolt Clamp (90-98mm)","brand","https://sinisterdiesel.com/sinister-diesel-replacement-t-bolt-clamp-90-98mm.html"
"B507","Sinister Diesel Replacement T-Bolt Clamp (97-105mm)","brand","https://sinisterdiesel.com/sinister-diesel-replacement-t-bolt-clamp-97-105mm.html"
"B513","Sinister Diesel Replacement Wire Locking Ring for 2011-26 6.7P Cold Side Charge Pipe","brand","https://sinisterdiesel.com/sinister-diesel-replacement-wire-locking-ring.html"
"B514","Sinister Diesel Replacement Wire Retainer Clip for 2011-26 6.7P HSCP","brand","https://sinisterdiesel.com/sinister-diesel-replacement-wire-retainer-clip.html"
"BK336A","Sinister Diesel Replacement Boot and Clamps","brand","https://sinisterdiesel.com/sinister-diesel-replacement-boot-and-clamps.html"
"BK236A","Sinister Diesel Replacement Boot and Clamps","brand","https://sinisterdiesel.com/sinister-diesel-replacement-boot-and-clamps-19233.html"
"BK3345DH","Sinister Diesel Replacement Boot and Clamps for 2011-26 6.7P Hot Side Charge Pipe","brand","https://sinisterdiesel.com/sinister-diesel-replacement-boot-and-clamps-19234.html"
"BK3335S","Sinister Diesel Replacement Boot and Clamps for 2011-26 6.7P Hot Side Charge Pipe","brand","https://sinisterdiesel.com/sinister-diesel-replacement-boot-and-clamps-19235.html"
"SD-FUELREG-SK","Sinister Diesel Fuel Regulator Service Kit","brand","https://sinisterdiesel.com/sinister-diesel-fuel-regulator-service-kit.html"
"test_subscription_product","Test Subscription Product","brand","https://sinisterdiesel.com/test-subcription-product.html"
"13135","Sinister Diesel Replacement Regulator for Regulated Fuel Return Kits","brand","https://sinisterdiesel.com/sinister-diesel-replacement-regulator-for-regulated-fuel-return-kits.html"
"SD-OLK-6_0","Sinister Diesel Replacement Oil Line Kit for 6.0 Powerstroke Oil Bypass Kits","brand","https://sinisterdiesel.com/sinister-diesel-replacement-oil-line-kit-for-60-powerstroke-oil-bypass-kits.html"
"SD-OLK-6_7C-13","Sinister Diesel Replacement Oil Line Kit for 2013-2020 Dodge Cummins 6.7L Oil Bypass Kits","brand","https://sinisterdiesel.com/sinister-diesel-replacement-oil-line-kit-for-2013-2020-dodge-cummins-oil-bypass-kits.html"
"SD-FUELREG-6_0-SLK","Sinister Diesel Replacement Fuel Line for 2003-2007 Ford Powerstroke 6.0L Regulated Fuel Return Kit","brand","https://sinisterdiesel.com/sinister-diesel-replacement-fuel-line-for-2003-2007-ford-powerstroke-60l-regulated-fuel-return-kit.html"
"SD-FUELREG-7_3-SLK","Sinister Diesel Replacement Fuel Line for 1999-2003 Ford Powerstroke 7.3L Regulated Fuel Return Kit","brand","https://sinisterdiesel.com/sinister-diesel-replacement-fuel-line-for-1999-2003-ford-powerstroke-73l-regulated-fuel-return-kit.html"
"B303","Sinister Diesel Replacement Fitting (1/8"" MNPT x (-4) JIC 90°)","brand","https://sinisterdiesel.com/sinister-diesel-replacement-fitting-18-mnpt-x-4-jic-90.html"
"33404","Sinister Diesel Replacement Fuel Filter for 7.3 Powerstroke Regulated Fuel Return Kit","brand","https://sinisterdiesel.com/sinister-diesel-replacement-fuel-filter-for-73-powerstroke-regulated-fuel-return-kit.html"
"SD-FUELBLK-6_0-RK","Sinister Diesel Blue Spring Replacement Parts Kit","brand","https://sinisterdiesel.com/sinister-diesel-blue-spring-replacement-parts-kit.html"
"SD-CBK-7_3","Sinister Diesel Complete Blue Kit for Ford Powerstroke 1999.5 - 2003 7.3L Powerstroke","brand","https://sinisterdiesel.com/sinister-diesel-complete-blue-kit-for-ford-powerstroke-19995-2003-73l-powerstroke.html"
"SD-FLTNKSMP-GASKET","""Old Style"" Fuel Sump Gasket","brand","https://sinisterdiesel.com/old-style-fuel-sump-gasket.html"
"40490","SCT BDX Performance Programmer 40490","brand","https://sinisterdiesel.com/sct-bdx-performance-programmer-40490.html"
"SD-OLK-6_7C-07","Sinister Diesel Replacement Oil Line Kit for 07.5-12 Dodge Cummins 6.7L Oil Bypass Kits","brand","https://sinisterdiesel.com/sinister-diesel-replacement-oil-line-kit-for-075-12-dodge-cummins-67l-oil-bypass-kits.html"
"SD-4094","Sinister Diesel Compressor Wheel SD-4094","brand","https://sinisterdiesel.com/sinister-diesel-compressor-wheel-sd-4094.html"
"SD-7_3PM","Sinister Diesel Compressor Wheel SD-7.3PM","brand","https://sinisterdiesel.com/sinister-diesel-compressor-wheel-sd-73pm.html"
"SD-HE351","Sinister Diesel Compressor Wheel for 2004.5 and newer Cummins engines SD-HE351","brand","https://sinisterdiesel.com/sinister-diesel-compressor-wheel-for-20045-and-newer-cummins-engines-sd-he351.html"
"SD-3794","Sinister Diesel Compressor Wheel SD-3794","brand","https://sinisterdiesel.com/sinister-diesel-compressor-wheel-sd-3794.html"
"enshield_protection","Enshield Protection","brand","https://sinisterdiesel.com/mm5/merchant.mvc?Screen=PROD&Product_Code=enshield_protection"
"SD-INTRPIPE-6_0-HOT_blem","Sinister Diesel Hot Side Charge Pipe for 2003-2007 Ford Powerstroke 6.0L (Blemish)","image_link","https://sinisterdiesel.com/sinister-diesel-hot-side-charge-pipe-for-2003-2007-ford-powerstroke-60l-blemish-19680.html"
"SD-FFC-6_4_blem","Sinister Diesel Fuel Filter Cap for Ford Powerstroke 2008-2010 6.4L (blem)","image_link","https://sinisterdiesel.com/sinister-diesel-fuel-filter-cap-for-ford-powerstroke-2008-2010-64l-blem.html"
"SD-FFC-6_4_blem_A924","Sinister Diesel Fuel Filter Cap for Ford Powerstroke 2008-2010 6.4L (blem)","image_link","https://sinisterdiesel.com/sinister-diesel-fuel-filter-cap-for-ford-powerstroke-2008-2010-64l-blem-19742.html"
